도서명,저자명,출판사명,출간일,분야,정가,쪽수,월
신이 쉼표를 넣은 곳에 마침표를 찍지 말라(양장본 HardCover),류시화,더숲,20191206,소설,18000,476,12
쓸 만한 인간(개정증보판),박정민,상상출판,20190902,시/에세이,14200,312,12
해커스 토익 RC 리딩(Reading)(개정판 8판),David Cho,해커스어학연구소,20200302,외국어,18800,800,12
밀레니얼 이코노미,홍춘욱,인플루엔셜,20191028,경제/경영,17000,320,12
"대변동: 위기, 선택, 변화",재레드 다이아몬드,김영사,20190610,인문,24800,600,12
마흔의 돈 공부,단희쌤(이의상),다산북스,20191111,경제/경영,17000,320,12
예쁘게 말을 하니 좋은 사람들이 왔다,심희정,쏭북스,20191125,자기계발,16000,312,12
오늘은 이만 좀 쉴게요(The cat edition),손힘찬(오가타 마리토),부크럼,20180726,시/에세이,13000,248,12
탁월한 인생을 만드는 법,마이클 하얏트(Michael Hyatt),안드로메디안,20191211,자기계발,17800,296,12
리더의 용기,브레네 브라운,갤리온,20191209,경제/경영,18000,428,12
영어회화 핵심패턴 233,백선엽,길벗이지톡,20160815,외국어,15000,404,12
"아들아, 삶에 지치고 힘들 때 이 글을 읽어라",윤태진,다연,20190422,자기계발,15000,300,12
이상한 과자 가게 전천당. 3(양장본 HardCover),히로시마 레이코,길벗스쿨,20191111,어린이(초등),12000,152,12
또 다른 10년이 온다,한상춘,한국경제신문,20191122,경제/경영,17000,340,12
빅히트,김한진,페이지2북스,20191118,경제/경영,17000,352,12
부자 되는 법을 가르쳐 드립니다,라밋 세티,안드로메디안,20191225,경제/경영,19800,448,12
밍꼬발랄 코믹스. 1,김혜련,겜툰,20191222,어린이(초등),12000,160,12
좀비고등학교 코믹스. 16,유대영,겜툰,20191223,어린이(초등),9800,160,12
선량한 차별주의자,김지혜,창비,20190717,정치/사회,15000,244,12
당신이 옳다(40만 부 기념 '한 사람' 리커버),정혜신,해냄출판사,20181010,인문,15800,316,12
날씨의 아이,신카이 마코토,대원씨아이,20191028,소설,13000,352,12
나미야 잡화점의 기적(땡큐 에디션)(양장본 HardCover),히가시노 게이고,현대문학,20201219,소설,14800,456,12
해커스 토익 LC 리스닝(Listening)(개정판 8판),David Cho,해커스어학연구소,20200318,외국어,18800,626,12
3분만 바라보면 눈이 좋아진다,히라마쓰 루이,쌤앤파커스,20190902,건강,12800,124,12
참선. 1,테오도르 준 박,나무의마음,20191128,시/에세이,16000,400,12
내일은 실험왕. 48: 방사능 물질(본격 대결 과학실험 만화),스토리 a.,아이세움,20191205,어린이(초등),12800,176,12
추리 천재 엉덩이 탐정과 카레사건(추리 천재 엉덩이 탐정 S 1),트롤,아이세움,20190501,어린이(초등),12000,60,12
지적 대화를 위한 넓고 얕은 지식,채사장,한빛비즈,20170117,인문,16000,376,12
어린이 퀴즈(읽으면서 바로 써먹는)(맛있는 공부 20),한날,파란정원,20190420,어린이(초등),12000,224,12
놓지 마 과학!. 12: 정신이 코딩에 정신 놓다(2),신태훈,위즈덤하우스,20191108,어린이(초등),12000,192,12
Who? K-pop TWICE(트와이스),윤상석,다산어린이,20191119,어린이(초등),12800,176,12
지금 바로 돈 버는 기술,김정환,유노북스,20191114,경제/경영,16000,292,12
네모아저씨의 페이퍼 블레이드. 2: 레볼루션(네모아저씨의 종이접기 놀이터 3),네모아저씨 이원표,슬로래빗,20190809,어린이(초등),11500,152,12
인생은 지름길이 없다(양장본 HardCover),스웨이,정민미디어,20190901,자기계발,15000,304,12
하고 싶은 대로 살아도 괜찮아(교보문고 단독 양장 에디션),윤정은,애플북스,20191104,시/에세이,13000,204,12
태고의 시간들,올가 토카르추크,은행나무,20190125,소설,14000,380,12
참 소중한 너라서(있는 그대로),김지훈,진심의꽃한송이,20181205,시/에세이,15800,419,12
로마법 수업,한동일,문학동네,20190925,인문,15500,268,12
교통경찰의 밤,히가시노 게이고,하빌리스,20191129,소설,13800,292,12
세계미래보고서 2020,박영숙,비즈니스북스,20191024,경제/경영,16500,376,12
부의 추월차선,엠제이 드마코,토트,20130820,경제/경영,15000,392,12
