도서명,저자명,출판사명,출간일,분야,정가,쪽수,월
바디: 우리 몸 안내서,빌 브라이슨,까치,20200110,과학,23000,576,2
설민석의 세계사 대모험. 4,설민석,단꿈아이,20200113,어린이(초등),12000,208,2
넛지(양장본 HardCover),리처드 탈러,리더스북,20181123,경제/경영,18000,428,2
설민석의 조선왕조실록,설민석,세계사,20160720,역사/문화,22000,504,2
이기적 유전자(40주년 기념판),리처드 도킨스,을유문화사,20181020,과학,20000,632,2
언어의 온도(170만부 기념 에디션),이기주,말글터,20160819,시/에세이,13800,308,2
친절한 대학의 다시 배우는 영어 교실. 1,이상현(이지 쌤),길벗,20191231,외국어,13000,228,2
리더의 용기,브레네 브라운,갤리온,20191209,경제/경영,18000,428,2
공부머리 독서법,최승필,책구루,20180503,인문,16500,344,2
먼 바다(양장본 HardCover),공지영,해냄출판사,20200217,소설,15800,276,2
정의란 무엇인가(마이클 샌델),마이클 샌델,와이즈베리,20141120,인문,15000,443,2
타이탄의 도구들(리커버 에디션),팀 페리스,토네이도,20200309,자기계발,15000,367,2
12가지 인생의 법칙(30만부 기념 리커버 에디션),조던 B. 피터슨,메이븐,20181030,인문,16800,552,2
말센스,셀레스트 헤들리,스몰빅라이프,20190225,자기계발,14500,240,2
나이듦에 관하여,루이즈 애런슨,비잉(Being),20200205,정치/사회,28000,844,2
빨강 머리 앤(더모던 감성클래식 2)(양장본 HardCover),루시 모드 몽고메리,더모던,20190510,소설,16800,532,2
필체를 바꾸면 인생이 바뀐다,구본진,쌤앤파커스,20200129,자기계발,14800,206,2
너와 함께라면 인생도 여행이다(겨울 에디션)(양장본 HardCover),나태주,열림원,20191212,시/에세이,13500,352,2
나를 사랑하는 연습,정영욱,부크럼,20200102,자기계발,14000,266,2
돌이킬 수 없는 약속,야쿠마루 가쿠,북플라자,20170202,소설,15000,380,2
해커스 토익 700+ LC+RC(한 권으로 끝내는),해커스 어학연구소,해커스어학연구소,20200417,외국어,19500,596,2
데미안(세계문학전집 44),헤르만 헤세,민음사,20090120,소설,8000,240,2
설민석의 한국사 대모험. 12,설민석,아이휴먼,20191205,어린이(초등),12000,212,2
틀 밖에서 놀게 하라,김경희,쌤앤파커스,20200811,가정/육아,17800,368,2
친절한 대학의 다시 배우는 영어 교실. 2,이상현(이지 쌤),길벗,20200131,외국어,13000,268,2
검사내전,김웅,부키,20180119,정치/사회,15000,384,2
월급쟁이 재테크 상식사전(개정판),우용표,길벗,20190607,경제/경영,17500,584,2
법정스님 인생응원가,정찬주,다연,20191120,시/에세이,15000,328,2
나미야 잡화점의 기적(땡큐 에디션)(양장본 HardCover),히가시노 게이고,현대문학,20201219,소설,14800,456,2
당신이 옳다(40만 부 기념 '한 사람' 리커버),정혜신,해냄출판사,20181010,인문,15800,316,2
중국발 세계경제 위기가 시작됐다,미야자키 마사히로,센시오,20200207,경제/경영,17000,264,2
임신 출산 육아 대백과(2019~2020)(개정판),삼성출판사 편집부,삼성출판사,20190701,가정/육아,18500,410,2
노동의 종말(개정판),제러미 리프킨,민음사,20050520,정치/사회,23000,450,2
대한민국 부동산 사용설명서(양장본 HardCover),김학렬,에프엔미디어,20200101,경제/경영,19500,344,2
날씨가 좋으면 찾아가겠어요,이도우,시공사,20180628,소설,13800,432,2
타인의 고통,수전 손택,이후,20070710,인문,16500,254,2
분신(양장본 HardCover),히가시노 게이고,재인,20191205,소설,18800,576,2
해커스 보카(Hackers Vocabulary)(개정판 2판),David Cho,해커스어학연구소,20150701,외국어,16900,366,2
"울트라러닝, 세계 0.1%가 지식을 얻는 비밀",스콧 영,비즈니스북스,20200212,자기계발,16000,352,2
기적의 말하기 영단어 1000(무료 MP3 파일),이시원,시원스쿨닷컴,20190212,외국어,9000,348,2
연애 백문백답(전2권),유민지,우리사이플래닛,20190220,시/에세이,13000,176,2
50부터는 인생관을 바꿔야 산다,사이토 다카시,센시오,20191023,자기계발,14500,228,2
우리가 인생이라 부르는 것들,정재찬,인플루엔셜,20200225,인문,16000,356,2
침묵의 봄,레이첼 카슨,에코리브르,20111230,기술/공학,18000,398,2
백만장자 시크릿,하브 에커,알에이치코리아,20080716,경제/경영,12000,262,2
영어회화 핵심패턴 233,백선엽,길벗이지톡,20160815,외국어,15000,404,2
7가지 부의 불변의 법칙,데이브 램지,다산북스,20200129,경제/경영,17000,316,2
평화의 어머니(인류의 눈물을 닦아주는),한학자,김영사,20200210,시/에세이,16000,408,2
폭군,스티븐 그린블랫,비잉(Being),20200122,정치/사회,16000,284,2
이해하는 미적분 수업,데이비드 애치슨,바다출판사,20200131,과학,14800,236,2
당신의 어린 시절이 울고 있다,다미 샤르프,동양북스,20200117,인문,13800,264,2
나를 아프게 하지 않는다,전미경,지와인,20191205,인문,14800,268,2
해커스 OPIc 오픽 Advanced 공략(2주 만에 끝내는)(개정판 2판),해커스 오픽연구소,해커스,20191202,외국어,15900,321,2
인생을 어떻게 살면 좋겠냐고 묻는 딸에게,한창욱,다연,20191017,자기계발,15000,264,2
한국인이야기 : 너 어디에서 왔니,이어령,파람북,20200212,인문,19000,432,2
금융 위기 템플릿(레이 달리오의)(전3권),레이 달리오,한빛비즈,20200224,경제/경영,43000,668,2
서양미술사,E. H. 곰브리치,예경,20030710,예술/대중문화,38000,688,2
소소하게 찬란하게,오지영,몽스북,20200210,시/에세이,15500,304,2
3분만 바라보면 눈이 좋아진다,히라마쓰 루이,쌤앤파커스,20190902,건강,12800,124,2
신이 쉼표를 넣은 곳에 마침표를 찍지 말라(양장본 HardCover),류시화,더숲,20191206,소설,18000,476,2
여자로 살아가는 우리들에게(양장본 HardCover),요조,문학동네,20191030,시/에세이,15500,288,2
42가지 마음의 색깔(양장본 HardCover),크리스티나 누녜스 페레이라,레드스톤,20191223,유아(0~7세),14000,92,2
사회심리학,로버트 치알디니,웅진지식하우스,20200109,인문,33000,828,2
귀멸의 칼날. 15,고토게 코요하루,학산문화사,20200202,만화,5000,192,2
철학은 어떻게 삶의 무기가 되는가,야마구치 슈,다산초당,20190121,인문,16000,336,2
자존감 수업,윤홍균,심플라이프,20160901,인문,14000,304,2
세계사 최대한 쉽게 설명해 드립니다(완역판)(누구나 교양 1),만프레트 마이,이화북스,20181224,역사/문화,13800,350,2
인간 관계의 법칙,로버트 그린,웅진지식하우스,20200225,인문,17000,320,2
방구석 미술관,조원재,블랙피쉬,20200505,예술/대중문화,16800,344,2
쓸 만한 인간(개정증보판),박정민,상상출판,20190902,시/에세이,14200,312,2
해커스 토익 왕기초 RC Reading 리딩(2020),해커스 어학연구소,해커스어학연구소,20200528,외국어,13900,380,2
부자 되는 법을 가르쳐 드립니다,라밋 세티,안드로메디안,20191225,경제/경영,19800,448,2
더 팀: 성과를 내는 팀에는 법칙이 있다,아사노 고지,리더스북,20200211,경제/경영,16000,224,2
나는 매주 시체를 보러 간다(서가명강 시리즈 1),유성호,21세기북스,20190123,인문,16000,280,2
명탐정 코난. 97,Aoyama Gosho,서울미디어코믹스(서울문화사),20200225,만화,5500,192,2
겨울왕국2. 2(디즈니)(디즈니 무비 동화)(양장본 HardCover),수잔 프랜시스,애플비,20191210,유아(0~7세),8500,64,2
광수생각(양장본 HardCover),박광수,북클라우드,20200201,시/에세이,15500,304,2
잠든 사이 월급 버는 미국 배당주 투자,소수몽키,베가북스,20190104,경제/경영,19000,304,2
밍꼬발랄 코믹스. 1,김혜련,겜툰,20191222,어린이(초등),12000,160,2
데미안(문학동네 세계문학전집 10주년 기념 리커버 특별판)(세계문학전집 101)(양장본 HardCover),헤르만 헤세,문학동네,20200108,소설,9000,234,2
칼 비테 교육법,칼 비테,차이정원,20170728,가정/육아,17000,384,2
신비아파트 하늘도깨비 대 요르문간드(극장판 애니메이션북),서울문화사 편집부,서울문화사,20200115,어린이(초등),11000,184,2
사랑은 내 시간을 기꺼이 건네주는 것이다(양장본 HardCover),이기주,황소북스,20200318,시/에세이,14500,192,2
정리하는 뇌,대니얼 J. 레비틴,와이즈베리,20150622,인문,22000,636,2
남산의 부장들(개정증보판),김충식,폴리티쿠스,20121130,정치/사회,27000,880,2
이상한 과자 가게 전천당. 1(양장본 HardCover),히로시마 레이코,길벗스쿨,20190705,어린이(초등),12000,148,2
이태원 클라쓰. 1,광진,영컴,20170628,만화,13000,288,2
세습 중산층 사회,조귀동,생각의힘,20200120,정치/사회,17000,312,2
미움받을 용기,기시미 이치로,인플루엔셜,20141117,인문,14900,336,2
부동산 상식사전,백영록,길벗,20190130,경제/경영,17500,580,2
당신은 뇌를 고칠 수 있다,톰 오브라이언,브론스테인,20190821,건강,19800,452,2
1일 1클래식 1기쁨,클레먼시 버턴힐,윌북,20200115,예술/대중문화,17800,416,2
멀티팩터,김영준,스마트북스,20200204,경제/경영,16800,344,2
디커플링(양장본 HardCover),탈레스 S. 테이셰이라,인플루엔셜,20190930,경제/경영,24800,496,2
삶의 한가운데 영원의 길을 찾아서,김형석,열림원,20200117,시/에세이,15000,280,2
이제는 똘똘한 아파트 한 채가 답이다,김경필,원앤원북스,20200210,경제/경영,16000,288,2
참 소중한 너라서(있는 그대로),김지훈,진심의꽃한송이,20181205,시/에세이,15800,419,2
해커스 토익스피킹(토스) Level. 7·8(2주 만에 끝내는)(개정판 3판),해커스 어학연구소,해커스어학연구소,20190731,외국어,19800,472,2
세계의 리더들이 논리학을 배우는 이유,치루루,힘찬북,20191219,자기계발,14800,296,2
해커스 토익스피킹(토스) Start(2주 만에 끝내는)(개정판 4판),David Cho,해커스어학연구소,20200106,외국어,19800,552,2
"힘내, 17살",오충용,스노우폭스북스,20200120,시/에세이,13800,266,2
월가의 영웅(전설로 떠나는)(개정판 2판)(양장본 HardCover),피터 린치,국일증권경제연구소,20170417,경제/경영,23000,488,2
글로벌 그린 뉴딜,제러미 리프킨,민음사,20200131,정치/사회,18000,328,2
김락희의 인체 드로잉,김락희,성안당,20191126,예술/대중문화,35000,392,2
술 먹고 전화해도 되는데,전소민,부크럼,20200117,시/에세이,14500,248,2
혼자 공부하는 파이썬,윤인성,한빛미디어,20190610,컴퓨터/IT,18000,460,2
혼자가 혼자에게,이병률,달,20190919,시/에세이,15500,316,2
흔한남매 안 흔한 일기. 1(양장본 HardCover),흔한남매 (원작),아이세움,20200227,어린이(초등),12000,144,2
버림 받은 황비. 4(디앤씨웹툰비즈),인아,디앤씨웹툰비즈,20200211,만화,13000,244,2
사서함 110호의 우편물,이도우,시공사,20160318,소설,13000,480,2
인간 실격(세계문학전집 103),다자이 오사무,민음사,20120410,소설,8000,192,2
역사의 쓸모,최태성,다산초당,20191122,인문,15000,296,2
아직 멀었다는 말,권여선,문학동네,20200214,소설,13500,284,2
인간의 흑역사,톰 필립스,윌북,20191010,역사/문화,14800,276,2
경매 권리분석 이렇게 쉬웠어?,박희철(파이팅팔콘),지혜로,20190115,경제/경영,18000,328,2
린치핀,세스 고딘,라이스메이커,20191228,자기계발,18000,464,2
원펀맨(One Punch Man). 21,ONE (원작),대원씨아이,20200205,만화,5000,232,2
단테의 신곡(명화로 보는),단테 알리기에리,미래타임즈,20181220,역사/문화,19800,506,2
좀비고등학교 코믹스. 16,유대영,겜툰,20191223,어린이(초등),9800,160,2
"곰돌이 푸, 행복한 일은 매일 있어",곰돌이 푸 (원작),알에이치코리아,20180312,시/에세이,12000,160,2
82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover),조남주,민음사,20161014,소설,13000,192,2
마케터의 문장,가나가와 아키노리,인플루엔셜,20200207,자기계발,14500,256,2
그릿(100쇄 기념 리커버 에디션),앤절라 더크워스,비즈니스북스,20190220,자기계발,16000,416,2
백년 허리,정선근,사이언스북스,20151231,건강,17500,340,2
"뇌, 욕망의 비밀을 풀다",한스 게오르크 호이젤,비즈니스북스,20191004,경제/경영,18000,420,2
숨,테드 창,엘리,20190520,소설,16500,520,2
원칙(양장본 HardCover),레이 달리오,한빛비즈,20180618,경제/경영,35000,712,2
피프티 피플,정세랑,창비,20161121,소설,14000,396,2
클루지(CREATIVE CLASSIC SERIES),개리 마커스,갤리온,20081124,인문,13800,310,2
하버드 상위 1퍼센트의 비밀,정주영,한국경제신문,20181017,자기계발,16000,324,3
날씨가 좋으면 찾아가겠어요(드라마 방영 기념 한정판),이도우,시공사,20200201,소설,13800,432,3
당신이 옳다(40만 부 기념 '한 사람' 리커버),정혜신,해냄출판사,20181010,인문,15800,316,3
1cm 다이빙,태수,피카(FIKA),20200121,시/에세이,13500,248,3
내가 원하는 것을 나도 모를 때,전승환,다산초당,20200108,인문,16000,320,3
페스트(세계문학전집 267),알베르 카뮈,민음사,20110403,소설,13000,508,3
지적 대화를 위한 넓고 얕은 지식: 제로 편,채사장,웨일북(whalebooks),20191224,인문,19800,556,3
녹나무의 파수꾼(양장본 HardCover),히가시노 게이고,소미미디어,20200317,소설,17800,556,3
설민석의 한국사 대모험. 13(반양장),설민석,아이휴먼,20200323,어린이(초등),12000,200,3
혼돈의 시대 리더의 탄생,도리스 컨스 굿윈,커넥팅,20200226,정치/사회,26800,712,3
존리의 부자되기 습관(20만부 기념 리커버 에디션),존 리,지식노마드,20200115,경제/경영,15000,216,3
내일의 부. 1: 알파편,조던 김장섭,트러스트북스,20200116,경제/경영,16000,308,3
딸에게 보내는 심리학 편지(10만 부 기념 스페셜 에디션),한성희,메이븐,20200128,인문,16000,336,3
더 해빙(The Having)(40만부 기념 리커버 에디션)(양장본 HardCover),이서윤,수오서재,20200301,자기계발,16000,344,3
해커스 토익 기출 보카 TOEIC VOCA(개정판 5판),David Cho,해커스어학연구소,20200305,외국어,12900,566,3
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),헤르만 헤세,더스토리,20171030,소설,12000,248,3
주식투자 무작정 따라하기(2020)(개정판),윤재수,길벗,20200110,경제/경영,18000,420,3
흔한남매. 4(양장본 HardCover),흔한남매 (원작),아이세움,20200326,어린이(초등),12000,172,3
지쳤거나 좋아하는 게 없거나,글배우,강한별,20190904,시/에세이,13500,248,3
총 균 쇠,재레드 다이아몬드,문학사상,20051219,역사/문화,28000,751,3
작은 아씨들(영화 공식 원작 소설 오리지널 커버),루이자 메이 올컷,알에이치코리아,20200212,소설,16500,976,3
팩트풀니스(양장본 HardCover),한스 로슬링,김영사,20190310,인문,19800,474,3
심리학을 만나 행복해졌다,장원청,미디어숲,20200310,자기계발,15800,336,3
명리심리학,양창순,다산북스,20200225,인문,16000,308,3
아몬드(양장본 HardCover),손원평,창비,20170331,소설,12000,263,3
설민석의 삼국지. 1,설민석,세계사,20190717,인문,22000,440,3
이 한마디가 나를 살렸다,김미경,21세기북스,20200325,자기계발,16000,280,3
흔한남매 안 흔한 일기. 1(양장본 HardCover),흔한남매 (원작),아이세움,20200227,어린이(초등),12000,144,3
우리가 인생이라 부르는 것들,정재찬,인플루엔셜,20200225,인문,16000,356,3
내일의 부. 2: 오메가편,조던 김장섭,트러스트북스,20200220,경제/경영,16000,328,3
지적 대화를 위한 넓고 얕은 지식. 1,채사장,웨일북(whalebooks),20200205,인문,16000,388,3
우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),김초엽,허블,20190624,소설,14000,330,3
타인의 해석,말콤 글래드웰,김영사,20200323,자기계발,18500,472,3
재무제표 모르면 주식투자 절대로 하지마라(스타강사 사경인 회계사의)(개정판),사경인,베가북스,20200110,경제/경영,19800,360,3
페스트(초판본)(1947년 오리지널 초판본 표지디자인)(양장본 HardCover),알베르 카뮈,더스토리,20200320,소설,13800,432,3
"1일 1페이지, 세상에서 가장 짧은 교양 수업 365",데이비드 S. 키더,위즈덤하우스,20191030,인문,16000,382,3
금융 위기 템플릿(레이 달리오의)(전3권),레이 달리오,한빛비즈,20200224,경제/경영,43000,668,3
코스모스(보급판),칼 세이건,사이언스북스,20100120,과학,18500,719,3
사피엔스,유발 하라리,김영사,20151124,인문,22000,636,3
사랑은 내 시간을 기꺼이 건네주는 것이다(양장본 HardCover),이기주,황소북스,20200318,시/에세이,14500,192,3
스스로 행복하라,법정,샘터(샘터사),20200106,시/에세이,12000,216,3
해빗(스페셜 에디션),웬디 우드,다산북스,20201210,자기계발,17000,408,3
부의 추월차선,엠제이 드마코,토트,20130820,경제/경영,15000,392,3
당신의 삶에 명상이 필요할 때,앤디 퍼디컴,스노우폭스북스,20200305,자기계발,16500,363,3
아내를 모자로 착각한 남자(개정판)(양장본 HardCover),올리버 색스,알마,20160817,과학,18500,396,3
추리 천재 엉덩이 탐정. 9: 세 마리 행운 고양이 사건,트롤,아이세움,20200115,어린이(초등),12000,88,3
해커스 토익 RC 리딩(Reading)(개정판 8판),David Cho,해커스어학연구소,20200302,외국어,18800,800,3
에이트(양장본 HardCover),이지성,차이정원,20191021,자기계발,17000,308,3
나는 나로 살기로 했다,김수현,마음의숲,20200316,시/에세이,13800,288,3
좀비고등학교 코믹스. 17(반양장),유대영,겜툰,20200310,어린이(초등),9800,160,3
사서함 110호의 우편물,이도우,시공사,20160318,소설,13000,480,3
나는 예수입니다,김용옥,통나무,20200306,종교,16000,328,3
부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판),로버트 기요사키,민음인,20180222,경제/경영,15800,448,3
선량한 차별주의자,김지혜,창비,20190717,정치/사회,15000,244,3
원피스. 95,Eiichiro Oda,대원씨아이,20200331,만화,5000,200,3
이상한 과자 가게 전천당. 5(양장본 HardCover),히로시마 레이코,길벗스쿨,20200320,어린이(초등),12000,156,3
설민석의 조선왕조실록,설민석,세계사,20160720,역사/문화,22000,504,3
이기적 유전자(40주년 기념판),리처드 도킨스,을유문화사,20181020,과학,20000,632,3
여행의 이유,김영하,문학동네,20190417,시/에세이,13500,216,3
우리의 불행은 당연하지 않습니다,김누리,해냄출판사,20200306,정치/사회,16500,260,3
지적 대화를 위한 넓고 얕은 지식. 2,채사장,웨일북(whalebooks),20200205,인문,16000,334,3
아홉 명의 완벽한 타인들,리안 모리아티,마시멜로,20191025,소설,15800,600,3
먼 바다(양장본 HardCover),공지영,해냄출판사,20200217,소설,15800,276,3
봉제인형 살인사건,다니엘 콜,북플라자,20171020,소설,15000,400,3
해커스 토익 스타트 리딩(Reading) RC(개정판 4판),David Cho,해커스어학연구소,20200220,외국어,14900,580,3
해커스 토익 LC 리스닝(Listening)(개정판 8판),David Cho,해커스어학연구소,20200318,외국어,18800,626,3
꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주,지혜,20201130,시/에세이,10000,184,3
시작의 기술(양장본 HardCover),개리 비숍,웅진지식하우스,20190417,자기계발,16000,227,3
양준일 Maybe,양준일,모비딕북스,20200214,시/에세이,18000,272,3
언어의 온도(170만부 기념 에디션),이기주,말글터,20160819,시/에세이,13800,308,3
트렌드 코리아 2020,김난도,미래의창,20191024,경제/경영,18000,448,3
페스트(세계문학전집 133),알베르 카뮈,문학동네,20151226,소설,14000,384,3
정의란 무엇인가(마이클 샌델),마이클 샌델,와이즈베리,20141120,인문,15000,443,3
아주 작은 습관의 힘,제임스 클리어,비즈니스북스,20190226,자기계발,16000,360,3
멋진 신세계,올더스 헉슬리,소담출판사,20150612,소설,13800,400,3
나미야 잡화점의 기적(땡큐 에디션)(양장본 HardCover),히가시노 게이고,현대문학,20201219,소설,14800,456,3
Go Go 카카오프렌즈. 13: 호주,김미영,아울북,20200325,어린이(초등),12000,176,3
부의 인문학,브라운스톤,오픈마인드,20191004,경제/경영,15000,294,3
넛지(양장본 HardCover),리처드 탈러,리더스북,20181123,경제/경영,18000,428,3
내가 죽으면 장례식에 누가 와줄까(너나들이 리커버 에디션),김상현,필름(Feelm),20200116,시/에세이,15000,252,3
제법 안온한 날들,남궁인,문학동네,20200305,시/에세이,15000,328,3
디레버리징,박홍기,좋은땅,20200214,경제/경영,20000,320,3
놓지 마 과학!. 13: 정신이 미세 먼지에 정신 놓다,신태훈,위즈덤하우스,20200228,어린이(초등),12000,188,3
지금 이대로 좋다,법륜,정토출판,20191030,시/에세이,14800,272,3
월급쟁이 재테크 상식사전(개정판),우용표,길벗,20190607,경제/경영,17500,584,3
타이탄의 도구들(리커버 에디션),팀 페리스,토네이도,20200309,자기계발,15000,367,3
더 위험한 과학책(양장본 HardCover),랜들 먼로,시공사,20200125,과학,22000,416,3
한국인이야기 : 너 어디에서 왔니,이어령,파람북,20200212,인문,19000,432,3
데미안(세계문학전집 44),헤르만 헤세,민음사,20090120,소설,8000,240,3
당신의 어린 시절이 울고 있다,다미 샤르프,동양북스,20200117,인문,13800,264,3
일의 기쁨과 슬픔,장류진,창비,20191025,소설,14000,236,3
저는 주식투자가 처음인데요: 기본편(2020),강병욱,한빛비즈,20200106,경제/경영,16500,424,3
나는 인생에서 중요한 것만 남기기로 했다,에리카 라인,갤리온,20200310,자기계발,15000,240,3
나는 무조건 합격하는 공부만 한다,이윤규,비즈니스북스,20191216,자기계발,15000,304,3
해커스 토익 스타트 리스닝(Listening) LC(개정판 4판),David Cho,해커스어학연구소,20200309,외국어,14900,572,3
바이러스 쇼크(2판),최강석,매일경제신문사,20200301,과학,15000,368,3
배움의 발견(교보문고 단독 리커버)(리커버:K),타라 웨스트오버,열린책들,20200105,시/에세이,18000,520,3
루팡의 딸,요코제키 다이,북플라자,20190925,소설,15000,310,3
세계의 리더들이 논리학을 배우는 이유,치루루,힘찬북,20191219,자기계발,14800,296,3
너에게만 좋은 사람이 되고 싶어(리커버 한정판),유귀선,스튜디오오드리,20191016,시/에세이,13500,244,3
명탐정 코난. 97,Aoyama Gosho,서울미디어코믹스(서울문화사),20200225,만화,5500,192,3
이해하는 미적분 수업,데이비드 애치슨,바다출판사,20200131,과학,14800,236,3
돌이킬 수 없는 약속,야쿠마루 가쿠,북플라자,20170202,소설,15000,380,3
"돈, 뜨겁게 사랑하고 차갑게 다루어라(코스톨라니 투자총서 1)",앙드레 코스톨라니,미래의창,20150930,경제/경영,12000,304,3
말 그릇(비울수록 사람을 더 채우는),김윤나,카시오페아,20170922,자기계발,15000,308,3
오늘 밤은 굶고 자야지,박상영,한겨레출판사,20200316,시/에세이,13500,260,3
영어 회화의 결정적 단어들,서영조,사람in,20200306,외국어,15000,320,3
시간을 파는 상점(자음과모음 청소년문학 15),김선영,자음과모음,20120410,소설,11000,265,3
이러지도 저러지도 못하는 당신에게,강주원,비로소,20191028,시/에세이,13000,225,3
아홉 살 마음 사전,박성우,창비,20170310,어린이(초등),11000,168,3
90년생이 온다,임홍택,웨일북(whalebooks),20181116,경제/경영,14000,336,3
마법천자문. 47: 잠드는 시간! 밤 야,김현수,아울북,20200129,어린이(초등),12000,163,3
117층 나무 집(456 book 클럽)(양장본 HardCover),앤디 그리피스,시공주니어,20200110,어린이(초등),12000,384,3
영어회화 이디엄(미국적인 너무나 미국적인),김아영,사람in,20200103,외국어,15000,336,3
작은 아씨들(벨벳 에디션)(초판본)(1868년 오리지널 초판본 표지디자인)(양장본 HardCover),루이자 메이 올콧,더스토리,20200210,소설,16800,504,3
사람은 어떻게 생각하고 배우고 기억하는가,제레드 쿠니 호바스,토네이도,20200320,자기계발,17000,400,3
메타인지 학습법,리사 손,21세기북스,20190626,가정/육아,15000,260,3
대한민국 부동산 초보를 위한 아파트 투자의 정석,제네시스박,비즈니스북스,20200311,경제/경영,16000,304,3
월가의 영웅(전설로 떠나는)(개정판 2판)(양장본 HardCover),피터 린치,국일증권경제연구소,20170417,경제/경영,23000,488,3
12가지 인생의 법칙(30만부 기념 리커버 에디션),조던 B. 피터슨,메이븐,20181030,인문,16800,552,3
방구석 미술관,조원재,블랙피쉬,20200505,예술/대중문화,16800,344,3
아직 멀었다는 말,권여선,문학동네,20200214,소설,13500,284,3
귀멸의 칼날. 16,고토게 코요하루,학산문화사,20200315,만화,5000,192,3
앞으로 3년 경제전쟁의 미래(환율과 금리로 보는),오건영,지식노마드,20190802,경제/경영,18000,388,3
틀 밖에서 놀게 하라,김경희,쌤앤파커스,20200811,가정/육아,17800,368,3
하버드 철학수업,윌리엄 제임스,나무와열매,20200217,인문,16000,328,3
"울트라러닝, 세계 0.1%가 지식을 얻는 비밀",스콧 영,비즈니스북스,20200212,자기계발,16000,352,3
만복이네 떡집(난 책읽기가 좋아 3단계 54),김리리,비룡소,20100528,어린이(초등),9500,52,3
인간 관계의 법칙,로버트 그린,웅진지식하우스,20200225,인문,17000,320,3
설민석의 세계사 대모험. 4,설민석,단꿈아이,20200113,어린이(초등),12000,208,3
미움받을 용기,기시미 이치로,인플루엔셜,20141117,인문,14900,336,3
해커스 토익 700+ LC+RC(한 권으로 끝내는),해커스 어학연구소,해커스어학연구소,20200417,외국어,19500,596,3
원칙(양장본 HardCover),레이 달리오,한빛비즈,20180618,경제/경영,35000,712,3
사람사전(양장본 HardCover),정철,허밍버드,20200218,시/에세이,14800,368,3
공부머리 독서법,최승필,책구루,20180503,인문,16500,344,3
난생 처음 한번 공부하는 미술 이야기. 6: 초기 자본주의와 르네상스의 확산(난처한 시리즈),양정무,사회평론,20200228,인문,25000,584,3
임신 출산 육아 대백과(2019~2020)(개정판),삼성출판사 편집부,삼성출판사,20190701,가정/육아,18500,410,3
마케터의 문장,가나가와 아키노리,인플루엔셜,20200207,자기계발,14500,256,3
해커스 토익 왕기초 RC Reading 리딩(2020),해커스 어학연구소,해커스어학연구소,20200528,외국어,13900,380,3
침묵의 봄,레이첼 카슨,에코리브르,20111230,기술/공학,18000,398,3
영원한 권력은 없다,김종인,시공사,20200325,정치/사회,16000,392,3
기생충 각본집 & 스토리보드북 세트(전2권),봉준호,플레인,20191021,예술/대중문화,37000,448,3
숙면의 모든 것(스탠퍼드 교수가 가르쳐 주는),니시노 세이지,브론스테인,20200318,건강,13800,264,3
한중록(한국고전문학전집 3),혜경궁 홍씨,문학동네,20100828,소설,15000,485,3
식사에 대한 생각,비 윌슨,어크로스,20200227,인문,17800,516,3
ETF 투자 무작정 따라하기,윤재수,길벗,20200214,경제/경영,16000,276,3
마음을 읽는 아이 오로르,더글라스 케네디,밝은세상,20200228,소설,15000,240,3
작가들의 비밀스러운 삶,기욤 뮈소,밝은세상,20191121,소설,14800,340,3
필체를 바꾸면 인생이 바뀐다,구본진,쌤앤파커스,20200129,자기계발,14800,206,3
시간은 흐르지 않는다(양장본 HardCover),카를로 로벨리,쌤앤파커스,20190610,과학,16000,240,3
원펀맨(One Punch Man). 21,ONE (원작),대원씨아이,20200205,만화,5000,232,3
작은 아씨들: 영화 원작 소설(걸 클래식 컬렉션)(양장본 HardCover),루이자 메이 올컷,윌북,20190730,소설,15800,968,3
미라클모닝,할 엘로드,한빛비즈,20160222,자기계발,12000,240,3
말센스,셀레스트 헤들리,스몰빅라이프,20190225,자기계발,14500,240,3
백만장자 시크릿,하브 에커,알에이치코리아,20080716,경제/경영,12000,262,3
더 팀: 성과를 내는 팀에는 법칙이 있다,아사노 고지,리더스북,20200211,경제/경영,16000,224,3
기적의 말하기 영단어 1000(무료 MP3 파일),이시원,시원스쿨닷컴,20190212,외국어,9000,348,3
42가지 마음의 색깔(양장본 HardCover),크리스티나 누녜스 페레이라,레드스톤,20191223,유아(0~7세),14000,92,3
자존감 수업,윤홍균,심플라이프,20160901,인문,14000,304,3
내 주위에는 왜 멍청이가 많을까,장 프랑수아 마르미옹,시공사,20200220,인문,17000,400,3
나를 사랑하는 연습,정영욱,부크럼,20200102,자기계발,14000,266,3
푸른 사자 와니니(창비아동문고 280),이현,창비,20190129,어린이(초등),10800,216,3
모든 사람에게 좋은 사람일 필요는 없어,김유은,좋은북스,20190927,시/에세이,13800,286,3
난장이가 쏘아 올린 작은 공,조세희,이성과힘,20000710,소설,11000,352,3
서양미술사,E. H. 곰브리치,예경,20030710,예술/대중문화,38000,688,3
마음의 결,태희,피어오름,20190508,시/에세이,13800,264,3
